MajorName,Concentration,Freshman,Sophomore,Junior,Senior,NdegUgrad,TotalUgrad,Grad1,Grad2,NdegGrad,TotalGrad,Professional,TotalStudents
Natural Resrcs & Environ Sci,Resrce Cons & Restoration Ecol,        0,        1,        8,       24,        0,       33,        0,        0,        0,        0,        0,       33
Natural Resrcs & Environ Sci,Globl Chg & Landscape Dynamics,        0,        0,        2,        4,        0,        6,        0,        0,        0,        0,        0,        6
Natural Resrcs & Environ Sci,Environmental Science & Mgmt,       23,       15,       11,        4,        0,       53,        0,        0,        0,        0,        0,       53
Natural Resrcs & Environ Sci,Ecosys Stewardhip Rest Ecol,        8,        6,        4,        2,        0,       20,        0,        0,        0,        0,        0,       20
Natural Resrcs & Environ Sci,Fish Wildlife Conserve Biol,       23,       15,        8,       11,        0,       57,        0,        0,        0,        0,        0,       57
Natural Res & Env Sciences, ,        0,        0,        0,        0,        0,        0,       43,        0,        0,       43,        0,       43
Natural Res & Env Sciences, ,        0,        0,        0,        0,        0,        0,       38,        0,        0,       38,        0,       38
Natural Res & Env Sciences, ,        0,        0,        0,        0,        0,        0,        0,       42,        0,       42,        0,       42
Nutritional Sciences, ,        0,        0,        0,        0,        0,        0,       18,        0,        0,       18,        0,       18
Nutritional Sciences, ,        0,        0,        0,        0,        0,        0,        0,       35,        0,       35,        0,       35
"Agr, Cons, Env Sci",***College total***,      563,      584,      729,      815,      110,     2801,      400,      311,       34,      745,        0,     3546
Business Administration (MBA), ,        0,        0,        0,        0,        0,        0,       90,        0,        0,       90,        0,       90
Business Administration (MBA),MBA,        0,        0,        0,        0,        0,        0,      111,        0,        0,      111,        0,      111
Business Administration (MBA),Info Technology and Control,        0,        0,        0,        0,        0,        0,        1,        0,        0,        1,        0,        1
Finance, ,        2,       94,      185,      299,        0,      580,        0,        0,        0,        0,        0,      580
Finance, ,        2,       20,       26,       13,        0,       61,        0,        0,        0,        0,        0,       61
Finance, ,        0,        0,        0,        0,        0,        0,      244,        0,        0,      244,        0,      244
Finance, ,        0,        0,        0,        0,        0,        0,        0,       17,        0,       17,        0,       17
Accountancy, ,        6,      111,      266,      427,        0,      810,        0,        0,        0,        0,        0,      810
Accountancy, ,        1,       16,       32,       19,        0,       68,        0,        0,        0,        0,        0,       68
Accountancy, ,        0,        0,        0,        0,        0,        0,      190,        0,        0,      190,        0,      190
Accountancy,Data Analytics in Accountancy,        0,        0,        0,        0,        0,        0,        1,        0,        0,        1,        0,        1
Accountancy, ,        0,        0,        0,        0,        0,        0,      199,        0,        0,      199,        0,      199
Accountancy, ,        0,        0,        0,        0,        0,        0,      303,        0,        0,      303,        0,      303
Accountancy, ,        0,        0,        0,        0,        0,        0,        0,        0,       48,       48,        0,       48
Accountancy, ,        0,        0,        0,        0,        0,        0,        0,       14,        0,       14,        0,       14
Marketing, ,        1,       48,       36,       39,        0,      124,        0,        0,        0,        0,        0,      124
Marketing, ,        0,        6,       46,       51,        0,      103,        0,        0,        0,        0,        0,      103
Information Sys & Info Tech, ,        0,        0,        3,       27,        0,       30,        0,        0,        0,        0,        0,       30
Information Sys & Info Tech, ,        0,        0,        2,       36,        0,       38,        0,        0,        0,        0,        0,       38
Supply Chain Management, ,        0,        0,        7,        4,        0,       11,        0,        0,        0,        0,        0,       11
Supply Chain Management, ,        0,        0,       21,       41,        0,       62,        0,        0,        0,        0,        0,       62
Business Process Management, ,        0,        0,        2,        1,        0,        3,        0,        0,        0,        0,        0,        3
Business Process Management, ,        0,        0,        0,        4,        0,        4,        0,        0,        0,        0,        0,        4
Management, ,        0,        1,        0,        0,        0,        1,        0,        0,        0,        0,        0,        1
Management,Entrepreneurship,        0,       10,        4,        8,        0,       22,        0,        0,        0,        0,        0,       22
Management,Entrepreneurship,        0,        5,        2,        5,        0,       12,        0,        0,        0,        0,        0,       12
Management,International Business,        0,        8,        5,        4,        0,       17,        0,        0,        0,        0,        0,       17
Management,International Business,        0,        1,        2,        4,        0,        7,        0,        0,        0,        0,        0,        7
Management,General Management,        0,        2,        7,        9,        0,       18,        0,        0,        0,        0,        0,       18
Management,General Management,        0,        2,        1,       12,        0,       15,        0,        0,        0,        0,        0,       15
Information Systems, ,        0,       13,        9,       10,        0,       32,        0,        0,        0,        0,        0,       32
Information Systems, ,        0,        4,       15,        6,        0,       25,        0,        0,        0,        0,        0,       25
Operations Management, ,        0,        6,        3,        1,        0,       10,        0,        0,        0,        0,        0,       10
Operations Management, ,        0,        0,        8,        5,        0,       13,        0,        0,        0,        0,        0,       13
Business Administration, ,        0,        0,        0,        0,        0,        0,       47,        0,        0,       47,        0,       47
Technology Management, ,        0,        0,        0,        0,        0,        0,       83,        0,        0,       83,        0,       83
Technology Management,Info Technology and Control,        0,        0,        0,        0,        0,        0,        3,        0,        0,        3,        0,        3
Technology Management,Supply Chain Management,        0,        0,        0,        0,        0,        0,        4,        0,        0,        4,        0,        4
Technology Management,Business Data Analytics,        0,        0,        0,        0,        0,        0,       20,        0,        0,       20,        0,       20
Management, ,        0,        0,        0,        0,        0,        0,       21,        0,        0,       21,        0,       21
Business Administration, ,        0,        0,        0,        0,        0,        0,        0,       40,        0,       40,        0,       40
Business Administration (MBA), ,        0,        0,        0,        0,        0,        0,     2448,        0,        0,     2448,        0,     2448
Nondegree, ,        0,        0,        0,        0,      105,      105,        0,        0,        0,        0,        0,      105
Business Administration (MBA), ,        0,        0,        0,        0,        0,        0,        0,        0,      258,      258,        0,      258
Curric Unassigned, ,      468,      414,       58,        4,        0,      944,        0,        0,        0,        0,        0,      944
Business,***College total***,      480,      761,      740,     1029,      105,     3115,     3765,       71,      306,     4142,        0,     7257
Learning and Education Studies, ,        6,        4,        0,        0,        0,       10,        0,        0,        0,        0,        0,       10
Learning and Education Studies,Applied Learning Science,        0,        0,        1,        1,        0,        2,        0,        0,        0,        0,        0,        2
Learning and Education Studies,Ed Equlty & Cltrl Understandng,        0,        2,        9,        4,        0,       15,        0,        0,        0,        0,        0,       15
Learning and Education Studies,Workplace Trng & Development,        0,        0,        3,        2,        0,        5,        0,        0,        0,        0,        0,        5
Learning and Education Studies,"Dig. Env. Lrnng, Tchng, Agency",        0,        2,        6,        5,        0,       13,        0,        0,        0,        0,        0,       13
Nondegree, ,        0,        0,        0,        0,        4,        4,        0,        0,        0,        0,        0,        4
Special Education, ,       33,       22,       22,       32,        0,      109,        0,        0,        0,        0,        0,      109
Special Education, ,        0,        0,        0,        0,        0,        0,        9,        0,        0,        9,        0,        9
Special Education, ,        0,        0,        0,        0,        0,        0,       14,        0,        0,       14,        0,       14
